Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2009,Um Romance De Geração,Ficção,Brasileira,Filmes Do Estação,2
2009,Um Segredo Em Família,Ficção,Estrangeira,Filmes Do Estação,5
2009,Um Taxi Para A Escuridão,Documentário,Estrangeira,Moviemobz,3
2009,Uma Canção De Amor,Ficção,Estrangeira,Paris,17
2009,Uma Noite No Museu 2,Ficção,Estrangeira,Fox,515
2009,Uma Prova De Amor,Ficção,Estrangeira,Playarte,89
2009,Uma Vida Sem Regras,Ficção,Estrangeira,Paris,4
2009,Up - Altas Aventuras,Animação,Estrangeira,Sony,304
2009,Valsa Com Bashir,Animação,Estrangeira,Sony,8
2009,"Vamos Subir, Leão",Documentário,Brasileira,Canal 3,ND
2009,Velhas Guardas,Documentário,Brasileira,Pipa Produções,1
2009,Velozes E Furiosos 4,Ficção,Estrangeira,Universal,269
2009,Verônica,Ficção,Brasileira,Europa,129
2009,Verônika Decide Morrer,Ficção,Estrangeira,Imagem,61
2009,Vigaristas,Ficção,Estrangeira,Paris,35
2009,Vila 21,Ficção,Estrangeira,Panda Filmes,1
2009,Vitus,Ficção,Estrangeira,Filmes Da Mostra,5
2009,"Vocês, Os Vivos",Ficção,Estrangeira,Filmes Da Mostra,3
2009,W.,Ficção,Estrangeira,Filmes Do Estação,5
2009,"Waldick, Sempre No Meu Coração",Documentário,Brasileira,Pequena Central,4
2009,Watchmen - O Filme,Ficção,Estrangeira,Paramount,240
2009,X-Men Origens: Wolverine,Ficção,Estrangeira,Fox,646
2009,Xuxa Em O Mistério De Feiurinha,Ficção,Brasileira,Playarte,215
2009,Zico Na Rede,Documentário,Brasileira,Business Telecom,2
2010,15 Anos E Meio,Ficção,Estrangeira,Pandora Filmes,3
2010,3 Homens E Uma Noite Fria,Ficção,Estrangeira,Imovision,1
2010,400 Contra 1 – A História Do Comando Vermelho,Ficção,Brasileira,Playarte,76
2010,5X Favela – Agora Por Nós Mesmos,Ficção,Brasileira,Sony/Riofilme,48
2010,72 Horas,Ficção,Estrangeira,Imagem,121
2010,A Alma Do Osso,Documentário,Brasileira,Filmes Do Rio De Janeiro,3
2010,A Bruxinha E O Dragão,Ficção,Estrangeira,Europa,4
2010,A Caixa,Ficção,Estrangeira,Imagem,49
2010,A Casa Verde,Ficção,Brasileira,Accorde Audiovisuais,12
2010,A Epidemia,Ficção,Estrangeira,Imagem,30
2010,A Estrada,Ficção,Estrangeira,Paris,62
2010,A Falta Que Me Faz,Documentário,Brasileira,Anavilhana,1
2010,A Fita Branca,Ficção,Estrangeira,Imovision,23
2010,A Guerra Dos Vizinhos,Ficção,Brasileira,Polifilmes,8
